LossDelta	Time	Iteration	AverageReturn	StdReturn	MaxReturn	MinReturn	EpLenMean	EpLenStd	TimestepsThisBatch	TimestepsSoFar
0.034136415	16.538969039916992	71	178.5	48.075461516245475	200.0	71.0	178.5	48.075461516245475	1071	76297
0.0032901168	16.781134366989136	72	194.16666666666666	13.043729868748773	200.0	165.0	194.16666666666666	13.043729868748773	1165	77462
0.0	17.026607275009155	73	200.0	0.0	200.0	200.0	200.0	0.0	1200	78662
0.014189348	17.278299570083618	74	193.33333333333334	14.9071198499986	200.0	160.0	193.33333333333334	14.9071198499986	1160	79822
0.0	17.5458824634552	75	200.0	0.0	200.0	200.0	200.0	0.0	1200	81022
0.028726637	17.784162759780884	76	187.0	29.068883707497267	200.0	122.0	187.0	29.068883707497267	1122	82144
0.0	18.019689083099365	77	200.0	0.0	200.0	200.0	200.0	0.0	1200	83344
0.0	18.28058362007141	78	200.0	0.0	200.0	200.0	200.0	0.0	1200	84544
0.0	18.537302017211914	79	200.0	0.0	200.0	200.0	200.0	0.0	1200	85744
0.0	18.788182735443115	80	200.0	0.0	200.0	200.0	200.0	0.0	1200	86944
0.0024986267	19.034648180007935	81	188.5	18.291619210264937	200.0	151.0	188.5	18.291619210264937	1131	88075
-1.4320714e-05	19.294049978256226	82	199.66666666666666	0.7453559924999298	200.0	198.0	199.66666666666666	0.7453559924999298	1198	89273
3.7712976e-05	19.548407077789307	83	199.83333333333334	0.3726779962499649	200.0	199.0	199.83333333333334	0.3726779962499649	1199	90472
8.92696e-05	19.8011257648468	84	199.0	2.23606797749979	200.0	194.0	199.0	2.23606797749979	1194	91666
0.0	20.06021547317505	85	200.0	0.0	200.0	200.0	200.0	0.0	1200	92866
0.0005496219	20.31195092201233	86	194.16666666666666	8.25462833135986	200.0	182.0	194.16666666666666	8.25462833135986	1165	94031
0.023275198	20.560994863510132	87	189.83333333333334	22.73335777124786	200.0	139.0	189.83333333333334	22.73335777124786	1139	95170
0.0	20.814794063568115	88	200.0	0.0	200.0	200.0	200.0	0.0	1200	96370
0.0075824857	21.07189106941223	89	195.83333333333334	9.316949906249123	200.0	175.0	195.83333333333334	9.316949906249123	1175	97545
0.0	21.337876796722412	90	200.0	0.0	200.0	200.0	200.0	0.0	1200	98745
0.035519958	21.587836742401123	91	193.0	15.652475842498529	200.0	158.0	193.0	15.652475842498529	1158	99903
0.0	21.837175369262695	92	200.0	0.0	200.0	200.0	200.0	0.0	1200	101103
0.0	22.095579862594604	93	200.0	0.0	200.0	200.0	200.0	0.0	1200	102303
0.0	22.356250762939453	94	200.0	0.0	200.0	200.0	200.0	0.0	1200	103503
0.0	22.614885330200195	95	200.0	0.0	200.0	200.0	200.0	0.0	1200	104703
0.0	22.87155771255493	96	200.0	0.0	200.0	200.0	200.0	0.0	1200	105903
0.0	23.123685598373413	97	200.0	0.0	200.0	200.0	200.0	0.0	1200	107103
0.00038817525	23.372427701950073	98	199.16666666666666	1.8633899812498247	200.0	195.0	199.16666666666666	1.8633899812498247	1195	108298
0.0	23.631168127059937	99	200.0	0.0	200.0	200.0	200.0	0.0	1200	109498
